<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEX,W,20140811,00:00,59.2600000,61.0000000,58.3300000,60.6000000,31180670
MOEX,W,20140818,00:00,60.6000000,65.5000000,60.5200000,64.2500000,25391080
MOEX,W,20140825,00:00,64.2000000,67.4200000,62.0500000,63.5000000,35083850
MOEX,W,20140901,00:00,63.1100000,65.3700000,60.0500000,64.2200000,44956350
MOEX,W,20140908,00:00,64.0000000,64.6800000,61.0100000,61.9500000,21023470
MOEX,W,20140915,00:00,62.4400000,62.4500000,59.5200000,59.5800000,70340900
MOEX,W,20140922,00:00,59.6200000,61.4700000,57.6100000,59.9800000,55487550
MOEX,W,20140929,00:00,59.9000000,60.4000000,57.5700000,59.0000000,25321100
MOEX,W,20141006,00:00,59.2400000,62.2800000,58.0000000,58.7000000,25393880
MOEX,W,20141013,00:00,58.0600000,60.4400000,58.0600000,58.9000000,22944120
MOEX,W,20141020,00:00,59.1800000,59.1900000,57.1600000,58.2000000,24413290
MOEX,W,20141027,00:00,58.7100000,58.9500000,57.2500000,58.0000000,48006810
MOEX,W,20141103,00:00,58.0200000,60.7500000,56.6100000,59.2800000,30796820
MOEX,W,20141110,00:00,59.7100000,60.4500000,57.3400000,57.6000000,21931560
MOEX,W,20141117,00:00,57.5000000,63.5000000,56.7900000,63.5000000,36451960
MOEX,W,20141124,00:00,63.4000000,64.3100000,58.0000000,59.8300000,39141190
MOEX,W,20141201,00:00,59.6500000,63.4500000,58.1500000,62.3700000,42926240
MOEX,W,20141208,00:00,62.4700000,63.5000000,58.7000000,61.9700000,34051740
MOEX,W,20141215,00:00,61.5500000,63.5000000,55.9000000,62.0000000,45287220
MOEX,W,20141222,00:00,61.6300000,62.9200000,60.6500000,61.9500000,16446220
MOEX,W,20141229,00:00,61.6500000,62.7500000,59.0600000,59.0600000,19365220
MOEX,W,20150105,00:00,59.5100000,64.7000000,59.5000000,60.1400000,11061980
MOEX,W,20150112,00:00,60.7300000,62.7300000,58.5100000,62.5000000,20771990
MOEX,W,20150119,00:00,62.5000000,69.7500000,61.8000000,69.1100000,42227530
MOEX,W,20150126,00:00,68.1700000,71.0000000,66.0500000,70.0000000,24911700
MOEX,W,20150202,00:00,70.4500000,74.8000000,68.7200000,74.8000000,25169830
MOEX,W,20150209,00:00,74.3000000,78.0000000,68.2300000,72.5000000,54508460
MOEX,W,20150216,00:00,72.5100000,78.4000000,71.5000000,75.6900000,25030050
MOEX,W,20150223,00:00,73.0500000,78.9300000,72.7200000,76.9000000,27225350
MOEX,W,20150302,00:00,76.2100000,78.0400000,68.7200000,69.0000000,41678630
MOEX,W,20150309,00:00,68.5800000,69.9800000,64.4000000,67.3000000,56975010
MOEX,W,20150316,00:00,67.0000000,69.5000000,65.8000000,65.8000000,22598810
MOEX,W,20150323,00:00,66.2700000,70.3200000,64.9100000,66.6500000,38041250
MOEX,W,20150330,00:00,66.1300000,75.6100000,66.1000000,74.7500000,40286820
