<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
YNDX,D,20210507,00:00,4831.6000000
YNDX,D,20210510,00:00,4702.8000000
YNDX,D,20210511,00:00,4678.0000000
YNDX,D,20210512,00:00,4601.0000000
YNDX,D,20210513,00:00,4638.4000000
YNDX,D,20210514,00:00,4687.0000000
YNDX,D,20210517,00:00,4704.2000000
YNDX,D,20210518,00:00,4740.0000000
YNDX,D,20210519,00:00,4741.6000000
YNDX,D,20210520,00:00,4750.8000000
YNDX,D,20210521,00:00,4767.2000000
YNDX,D,20210524,00:00,4891.8000000
YNDX,D,20210525,00:00,4897.8000000
YNDX,D,20210526,00:00,4995.4000000
YNDX,D,20210527,00:00,4962.2000000
YNDX,D,20210528,00:00,4945.0000000
YNDX,D,20210531,00:00,4942.0000000
YNDX,D,20210601,00:00,4933.0000000
YNDX,D,20210602,00:00,4948.0000000
YNDX,D,20210603,00:00,4901.8000000
YNDX,D,20210604,00:00,4923.4000000
YNDX,D,20210607,00:00,4911.4000000
YNDX,D,20210608,00:00,4889.6000000
YNDX,D,20210609,00:00,4973.0000000
YNDX,D,20210610,00:00,5005.8000000
YNDX,D,20210611,00:00,5056.8000000
YNDX,D,20210614,00:00,5090.0000000
YNDX,D,20210615,00:00,4925.0000000
YNDX,D,20210616,00:00,4962.8000000
YNDX,D,20210617,00:00,5041.4000000
YNDX,D,20210618,00:00,5047.0000000
YNDX,D,20210621,00:00,5008.4000000
YNDX,D,20210622,00:00,5007.0000000
YNDX,D,20210623,00:00,5040.0000000
YNDX,D,20210624,00:00,5033.0000000
YNDX,D,20210625,00:00,5088.0000000
YNDX,D,20210628,00:00,5099.8000000
YNDX,D,20210629,00:00,5084.6000000
YNDX,D,20210630,00:00,5176.6000000
YNDX,D,20210701,00:00,5168.6000000
YNDX,D,20210702,00:00,5216.0000000
YNDX,D,20210705,00:00,5212.4000000
YNDX,D,20210706,00:00,5247.4000000
YNDX,D,20210707,00:00,5341.4000000
YNDX,D,20210708,00:00,5354.2000000
YNDX,D,20210709,00:00,5235.8000000
YNDX,D,20210712,00:00,5281.0000000
YNDX,D,20210713,00:00,5256.8000000
YNDX,D,20210714,00:00,5177.8000000
YNDX,D,20210715,00:00,5188.0000000
YNDX,D,20210716,00:00,5150.0000000
YNDX,D,20210719,00:00,5109.0000000
YNDX,D,20210720,00:00,5095.4000000
YNDX,D,20210721,00:00,5151.2000000
YNDX,D,20210722,00:00,5165.8000000
YNDX,D,20210723,00:00,5196.4000000
YNDX,D,20210726,00:00,5155.2000000
YNDX,D,20210727,00:00,5035.2000000
YNDX,D,20210728,00:00,5076.8000000
YNDX,D,20210729,00:00,5034.6000000
YNDX,D,20210730,00:00,4970.4000000
YNDX,D,20210802,00:00,4938.0000000
YNDX,D,20210803,00:00,4934.0000000
YNDX,D,20210804,00:00,4989.6000000
YNDX,D,20210805,00:00,4995.0000000
YNDX,D,20210806,00:00,4971.2000000
YNDX,D,20210809,00:00,4971.0000000
