<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
ROSN,D,20221121,00:00,331.8500000
ROSN,D,20221122,00:00,334.9500000
ROSN,D,20221123,00:00,337.9500000
ROSN,D,20221124,00:00,334.7500000
ROSN,D,20221125,00:00,335.9000000
ROSN,D,20221128,00:00,333.2000000
ROSN,D,20221129,00:00,335.9000000
ROSN,D,20221130,00:00,336.2500000
ROSN,D,20221201,00:00,335.9000000
ROSN,D,20221202,00:00,335.0000000
ROSN,D,20221205,00:00,340.4500000
ROSN,D,20221206,00:00,336.0000000
ROSN,D,20221207,00:00,335.1000000
ROSN,D,20221208,00:00,333.7000000
ROSN,D,20221209,00:00,336.1500000
ROSN,D,20221212,00:00,335.2000000
ROSN,D,20221213,00:00,337.4000000
ROSN,D,20221214,00:00,334.5000000
