<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
IMOEX,D,20170811,00:00,1944.8300000
IMOEX,D,20170814,00:00,1951.7500000
IMOEX,D,20170815,00:00,1950.2800000
IMOEX,D,20170816,00:00,1942.8800000
IMOEX,D,20170817,00:00,1941.5200000
IMOEX,D,20170818,00:00,1930.7100000
IMOEX,D,20170821,00:00,1937.6600000
IMOEX,D,20170822,00:00,1947.4000000
IMOEX,D,20170823,00:00,1958.5200000
IMOEX,D,20170824,00:00,1973.5000000
IMOEX,D,20170825,00:00,1979.1400000
IMOEX,D,20170828,00:00,1987.1500000
IMOEX,D,20170829,00:00,1989.1200000
IMOEX,D,20170830,00:00,2008.8800000
IMOEX,D,20170831,00:00,2022.2200000
IMOEX,D,20170901,00:00,2010.9800000
IMOEX,D,20170904,00:00,2003.3200000
IMOEX,D,20170905,00:00,2004.0200000
IMOEX,D,20170906,00:00,2014.6000000
IMOEX,D,20170907,00:00,2010.1700000
IMOEX,D,20170908,00:00,2032.7500000
IMOEX,D,20170911,00:00,2044.1300000
IMOEX,D,20170912,00:00,2058.8000000
IMOEX,D,20170913,00:00,2054.1900000
IMOEX,D,20170914,00:00,2052.2500000
IMOEX,D,20170915,00:00,2053.8100000
IMOEX,D,20170918,00:00,2059.0800000
IMOEX,D,20170919,00:00,2048.9900000
IMOEX,D,20170920,00:00,2057.5300000
IMOEX,D,20170921,00:00,2060.2400000
IMOEX,D,20170922,00:00,2051.6300000
IMOEX,D,20170925,00:00,2069.1100000
IMOEX,D,20170926,00:00,2071.1300000
IMOEX,D,20170927,00:00,2081.1200000
IMOEX,D,20170928,00:00,2071.6400000
IMOEX,D,20170929,00:00,2077.1900000
IMOEX,D,20171002,00:00,2075.7200000
IMOEX,D,20171003,00:00,2076.8100000
IMOEX,D,20171004,00:00,2077.0900000
IMOEX,D,20171005,00:00,2088.3200000
IMOEX,D,20171006,00:00,2093.8600000
IMOEX,D,20171009,00:00,2096.2900000
IMOEX,D,20171010,00:00,2086.9100000
IMOEX,D,20171011,00:00,2101.0700000
IMOEX,D,20171012,00:00,2094.9600000
IMOEX,D,20171013,00:00,2098.7700000
IMOEX,D,20171016,00:00,2106.3900000
IMOEX,D,20171017,00:00,2092.5700000
IMOEX,D,20171018,00:00,2094.4000000
IMOEX,D,20171019,00:00,2072.7300000
IMOEX,D,20171020,00:00,2071.8300000
IMOEX,D,20171023,00:00,2063.8100000
IMOEX,D,20171024,00:00,2061.7900000
IMOEX,D,20171025,00:00,2049.4800000
IMOEX,D,20171026,00:00,2046.6900000
IMOEX,D,20171027,00:00,2068.7600000
IMOEX,D,20171030,00:00,2065.2500000
IMOEX,D,20171031,00:00,2064.3100000
IMOEX,D,20171101,00:00,2082.7300000
IMOEX,D,20171102,00:00,2073.0400000
IMOEX,D,20171103,00:00,2081.1500000
IMOEX,D,20171107,00:00,2155.5500000
IMOEX,D,20171108,00:00,2163.0100000
IMOEX,D,20171109,00:00,2183.6100000
IMOEX,D,20171110,00:00,2169.2600000
IMOEX,D,20171113,00:00,2167.6300000
IMOEX,D,20171114,00:00,2166.8300000
IMOEX,D,20171115,00:00,2131.7500000
IMOEX,D,20171116,00:00,2132.6500000
IMOEX,D,20171117,00:00,2131.9100000
IMOEX,D,20171120,00:00,2130.3900000
IMOEX,D,20171121,00:00,2155.8200000
IMOEX,D,20171122,00:00,2160.1600000
IMOEX,D,20171123,00:00,2148.5600000
IMOEX,D,20171124,00:00,2161.1700000
IMOEX,D,20171127,00:00,2145.8700000
IMOEX,D,20171128,00:00,2149.4500000
IMOEX,D,20171129,00:00,2124.0800000
IMOEX,D,20171130,00:00,2100.6200000
IMOEX,D,20171201,00:00,2105.9900000
IMOEX,D,20171204,00:00,2119.4200000
IMOEX,D,20171205,00:00,2113.6900000
IMOEX,D,20171206,00:00,2124.1200000
IMOEX,D,20171207,00:00,2103.1500000
IMOEX,D,20171208,00:00,2104.9900000
IMOEX,D,20171211,00:00,2148.6000000
IMOEX,D,20171212,00:00,2160.7500000
IMOEX,D,20171213,00:00,2131.9400000
IMOEX,D,20171214,00:00,2152.4100000
IMOEX,D,20171215,00:00,2143.9900000
IMOEX,D,20171218,00:00,2134.5800000
IMOEX,D,20171219,00:00,2118.1600000
IMOEX,D,20171220,00:00,2102.9700000
IMOEX,D,20171221,00:00,2093.3800000
IMOEX,D,20171222,00:00,2102.9400000
IMOEX,D,20171225,00:00,2105.0600000
IMOEX,D,20171226,00:00,2097.0300000
IMOEX,D,20171227,00:00,2106.1700000
IMOEX,D,20171228,00:00,2102.8900000
IMOEX,D,20171229,00:00,2109.7400000
IMOEX,D,20180103,00:00,2152.9700000
IMOEX,D,20180104,00:00,2197.6000000
IMOEX,D,20180105,00:00,2207.4100000
IMOEX,D,20180109,00:00,2225.3900000
IMOEX,D,20180110,00:00,2232.2700000
IMOEX,D,20180111,00:00,2246.4500000
IMOEX,D,20180112,00:00,2262.3800000
IMOEX,D,20180115,00:00,2261.5300000
IMOEX,D,20180116,00:00,2257.8900000
IMOEX,D,20180117,00:00,2277.8900000
IMOEX,D,20180118,00:00,2297.4700000
IMOEX,D,20180119,00:00,2286.3300000
IMOEX,D,20180122,00:00,2308.6100000
IMOEX,D,20180123,00:00,2298.9500000
IMOEX,D,20180124,00:00,2306.9900000
IMOEX,D,20180125,00:00,2320.0300000
IMOEX,D,20180126,00:00,2295.2600000
IMOEX,D,20180129,00:00,2284.2700000
IMOEX,D,20180130,00:00,2280.3600000
IMOEX,D,20180131,00:00,2289.9900000
IMOEX,D,20180201,00:00,2302.5700000
IMOEX,D,20180202,00:00,2281.8400000
IMOEX,D,20180205,00:00,2276.8500000
IMOEX,D,20180206,00:00,2238.2400000
IMOEX,D,20180207,00:00,2254.6400000
IMOEX,D,20180208,00:00,2227.2400000
IMOEX,D,20180209,00:00,2197.1200000
IMOEX,D,20180212,00:00,2220.1200000
IMOEX,D,20180213,00:00,2250.6300000
IMOEX,D,20180214,00:00,2257.9500000
